regime,rho_a,sigma_a,variable,impact,peak_abs,t_peak,cumulative,halflife
INTENSITY_TARGET,0.85,0.01,l,0.00103062987747934,0.00103062987747934,0,0.00339033651445897,4
INTENSITY_TARGET,0.85,0.01,mc,0.000343736009419282,0.000343736009419282,0,0.00156193039249741,4
INTENSITY_TARGET,0.85,0.01,pie,0.00011386571129357,0.00011386571129357,0,-0.000481649046173871,2
INTENSITY_TARGET,0.85,0.01,z,0.00377568276115764,0.00377568276115764,0,0.0305147727160083,6
INTENSITY_TARGET,0.85,0.01,u,-4.47251430335527e-10,4.47251430335527e-10,0,-3.61465041232023e-09,6
INTENSITY_TARGET,0.85,0.01,pz,-2.28841334770635e-10,2.28841334770635e-10,0,-1.84947736986407e-09,6
INTENSITY_TARGET,0.85,0.01,rnom,0.000345047609980664,0.000345047609980664,0,-0.00145954256416281,2
INTENSITY_TARGET,0.85,0.02,y,0.0204679517395329,0.0204679517395329,0,0.165420384816065,6
INTENSITY_TARGET,0.85,0.02,c,0.00368420559636951,0.00440676429143128,5,0.0814267994258533,NaN
INTENSITY_TARGET,0.85,0.02,iv,0.0167534023830586,0.0167534023830586,0,0.0837483494947367,4
INTENSITY_TARGET,0.85,0.02,l,0.00206125975495872,0.00206125975495872,0,0.00678067302891808,4
INTENSITY_TARGET,0.85,0.02,mc,0.000687472018838564,0.000687472018838564,0,0.0031238607849946,4
INTENSITY_TARGET,0.85,0.02,pie,0.000227731422587141,0.000227731422587141,0,-0.00096329809234752,2
INTENSITY_TARGET,0.85,0.02,z,0.00755136552231528,0.00755136552231528,0,0.0610295454320169,6
INTENSITY_TARGET,0.85,0.02,u,-8.94502860671054e-10,8.94502860671054e-10,0,-7.22930090790719e-09,6
INTENSITY_TARGET,0.85,0.02,pz,-4.57682676480164e-10,4.57682676480164e-10,0,-3.69895472585036e-09,6
INTENSITY_TARGET,0.85,0.02,rnom,0.000690095219961329,0.000690095219961329,0,-0.00291908512832584,2
INTENSITY_TARGET,0.95,0.005,y,0.00472676759503854,0.00472676759503854,0,0.0733399106903021,NaN
INTENSITY_TARGET,0.95,0.005,c,0.00142942293249027,0.00191435707850873,12,0.0378111183578904,NaN
INTENSITY_TARGET,0.95,0.005,iv,0.00329033722458874,0.00329033722458874,0,0.0354200658372321,10
INTENSITY_TARGET,0.95,0.005,l,0.000363100512267761,0.000363100512267761,0,0.00264939808979425,6
INTENSITY_TARGET,0.95,0.005,mc,0.00011291962615545,0.00011291962615545,0,0.00105920084038014,8
INTENSITY_TARGET,0.95,0.005,pie,8.08882235281416e-05,8.08882235281416e-05,0,0.000267522025280686,5
INTENSITY_TARGET,0.95,0.005,z,0.00174387502488738,0.00174387502488738,0,0.0270577378745112,NaN
INTENSITY_TARGET,0.95,0.005,u,-2.0657206500907e-10,2.0657206500907e-10,0,-3.20514495499857e-09,NaN
INTENSITY_TARGET,0.95,0.005,pz,-1.05694973606685e-10,1.05694973606685e-10,0,-1.63994912094623e-09,NaN
INTENSITY_TARGET,0.95,0.005,rnom,0.000245115828872988,0.000245115828872988,0,0.000810672803881474,5
INTENSITY_TARGET,0.95,0.01,y,0.00945353519007719,0.00945353519007719,0,0.146679821380604,NaN
INTENSITY_TARGET,0.95,0.01,c,0.00285884586498042,0.00382871415701747,12,0.0756222367157804,NaN
INTENSITY_TARGET,0.95,0.01,iv,0.00658067444917748,0.00658067444917748,0,0.0708401316744642,10
INTENSITY_TARGET,0.95,0.01,l,0.00072620102453555,0.00072620102453555,0,0.00529879617958853,6
INTENSITY_TARGET,0.95,0.01,mc,0.0002258392523109,0.0002258392523109,0,0.00211840168075972,8
